




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Grant 132                     1199                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Grant 134                     971                           32                            2                             7                             0                             41                            30                            3                             7                             0                             40                            37                            5                             5                             0                             47                            33                            2                             5                             0                             40                            168                           
Grant 137                     1036                          15                            2                             2                             0                             19                            16                            2                             1                             0                             19                            18                            3                             2                             0                             23                            15                            0                             3                             0                             18                            79                            
Totals:                       11156                         359                           61                            38                            4                             462                           362                           66                            39                            3                             470                           395                           75                            45                            3                             518                           329                           57                            41                            0                             427                           1877                          

                                                                                                                                                                                                                                                                                                                                                                                                        Village of Fox River Grove Trustee (Vote For 3)
                                                            Patrick Wall                                                                                                                                          Jennifer Rose Curtiss                                                                                                                                 Steve Knar                                                                                                                                            Christopher Russell                                                                                                                                   Chester Olencheck                                                                                                                                     
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Cuba 73                       1013                          27                            4                             1                             0                             32                            29                            5                             2                             0                             36                            29                            3                             0                             0                             32                            6                             3                             0                             0                             9                             1                             0                             1                             0                             2                             111                           
Totals:                       1013                          27                            4                             1                             0                             32                            29                            5                             2                             0                             36                            29                            3                             0                             0                             32                            6                             3                             0                             0                             9                             1                             0                             1                             0                             2                             111                           

                                                                                                                                                                                                                                                                                                                                                                                                        Village of Grayslake Trustee (Vote For 3)
                                                            Kevin D. Waldenstrom                                                                                                                                  Elizabeth Davies                                                                                                                                      Ron Jarvis                                                                                                                                            Quin O'Brien                                                                                                                                          Mary Klees                                                                                                                                            
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Avon 21                       1076                          2                             0                             0                             1                             3                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             1                             0                             0                             1                             2                             1                             0                             0                             1                             2                             8                             
Avon 22                       859                           71                            11                            13                            1                             96                            58                            12                            13                            1                             84                            47                            12                            7                             1                             67                            19                            9                             7                             0                             35                            68                            24                            13                            0                             105                           387                           
Avon 23                       915                           7                             0                             1                             0                             8                             8                             0                             1                             0                             9                             7                             0                             0                             0                             7                             4                             0                             0                             0                             4                             3                             0                             1                             0                             4                             32                            
Avon 33                       842                           27                            5                             5                             0                             37                            25                            4                             7                             0                             36                            18                            5                             4                             0                             27                            8                             3                             1                             0                             12                            12                            2                             0                             0                             14                            126                           
Avon 34                       990                           37                            0                             10                            1                             48                            39                            0                             8                             1                             48                            20                            0                             8                             0                             28                            32                            1                             4                             0                             37                            40                            1                             7                             0                             48                            209                           
Avon 35                       918                           49                            8                             6                             0                             63                            53                            6                             5                             0                             64                            42                            5                             6                             0                             53                            9                             1                             4                             0                             14                            22                            4                             2                             0                             28                            222                           
Avon 36                       1072                          39                            4                             9                             3                             55                            45                            2                             9                             2                             58                            27                            2                             6                             1                             36                            12                            1                             1                             1                             15                            24                            3                             6                             1                             34                            198                           
Avon 42                       943                           120                           8                             5                             0                             133                           139                           7                             7                             0                             153                           109                           7                             5                             0                             121                           24                            3                             3                             0                             30                            64                            7                             2                             1                             74                            511                           
Avon 43                       877                           59                            7                             4                             0                             70                            71                            9                             4                             0                             84                            55                            5                             4                             0                             64                            13                            3                             0                             0                             16                            31                            5                             3                             0                             39                            273                           
Avon 44                       951                           56                            11                            11                            0                             78                            56                            12                            11                            0                             79                            51                            11                            8                             0                             70                            21                            4                             2                             0                             27                            40                            13                            9                             0                             62                            316                           
Avon 45                       697                           57                            9                             5                             1                             72                            66                            10                            4                             0                             80                            62                            10                            4                             0                             76                            18                            8                             1                             0                             27                            47                            8                             0                             0                             55                            310                           
Avon 46                       787                           60                            1                             6                             3                             70                            74                            4                             5                             4                             87                            57                            1                             4                             1                             63                            27                            2                             4                             1                             34                            89                            7                             8                             5                             109                           363                           
Avon 47                       940                           41                            11                            6                             1                             59                            46                            10                            10                            0                             66                            36                            6                             10                            0                             52                            15                            3                             8                             1                             27                            33                            6                             9                             0                             48                            252                           
Avon 48                       786                           52                            2                             1                             1                             56                            61                            2                             3                             1                             67                            36                            1                             1                             1                             39                            13                            1                             1                             0                             15                            30                            3                             2                             0                             35                            212                           
Avon 49                       938                           68                            6                             7                             1                             82                            82                            5                             5                             0                             92                            55                            6                             6                             0                             67                            36                            2                             1                             0                             39                            47                            1                             2                             1                             51                            331                           
Avon 50                       924                           89                            1                             6                             0                             96                            121                           3                             10                            0                             134                           110                           1                             3                             0                             114                           26                            0                             3                             0                             29                            110                           3                             7                             0                             120                           493                           
Fremont 110                   412                           40                            6                             1                             0                             47                            62                            8                             1                             0                             71                            58                            11                            1                             1                             71                            13                            2                             1                             0                             16                            63                            11                            2                             0                             76                            281                           
Lake Villa 166                1240                          2                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             2                             2                             0                             0                             0                             2                             0                             0                             0                             0                             0                             6                             
Warren 318                    1325                          3                             2                             1                             0                             6                             10                            1                             2                             0                             13                            2                             2                             0                             0                             4                             6                             0                             2                             0                             8                             6                             2                             1                             0                             9                             40                            
Totals:                       17492                         879                           92                            97                            13                            1081                          1016                          95                            105                           9                             1225                          795                           85                            77                            5                             962                           299                           43                            43                            4                             389                           730                           100                           74                            9                             913                           4570                          

                                                                                                                                                                                                                                                  Village of Green Oaks Trustee (Vote For 3)
                                                            Dan Sugrue                                                                                                                                            John Wagener                                                                                                                                          Richard Glogovsky                                                                                                                                     
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Libertyville 169              940                           62                            7                             9                             0                             78                            67                            10                            9                             0                             86                            62                            8                             10                            0                             80                            244                           
Libertyville 174              921                           74                            7                             1                             0                             82                            70                            10                            2                             0                             82                            62                            9                             1                             0                             72                            236                           
Libertyville 175              901                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Libertyville 181              1112                          37                            5                             5                             0                             47                            27                            6                             4                             0                             37                            34                            5                             5                             0                             44                            128                           
Shields 235                   738                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       4612                          173                           19                            15                            0                             207                           164                           26                            15                            0                             205                           158                           22                            16                            0                             196                           608                           

                                                                                                                                                                                                                                                                                                                                                                                                        Village of Gurnee Trustee (Vote For 3)
                                                            Terry Waddell-Moenter                                                                                                                                 Cheryl G. Ross                                                                                                                                        Steve Park                                                                                                                                            Eric Sindermann                                                                                                                                       Greg Garner                                                                                                                                           
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Warren 288                    1071                          38                            9                             2                             1                             50                            56                            7                             6                             1                             70                            53                            4                             4                             1                             62                            13                            4                             1                             0                             18                            34                            3                             5                             0                             42                            242                           
Warren 290                    670                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Warren 291                    721                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Warren 292                    1086                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Warren 293                    1217                          52                            15                            5                             0                             72                            88                            27                            8                             3                             126                           57                            21                            9                             3                             90                            41                            8                             2                             3                             54                            69                            16                            6                             0                             91                            433                           
Warren 294                    880                           36                            10                            5                             0                             51                            68                            16                            8                             0                             92                            57                            14                            4                             0                             75                            29                            3                             0                             0                             32                            45                            9                             8                             0                             62                            312                           
Warren 295                    969                           10                            6                             7                             1                             24                            30                            13                            18                            0                             61                            27                            8                             12                            1                             48                            11                            4                             7                             0                             22                            18                            7                             5                             1                             31                            186                           
Warren 296                    893                           27                            27                            1                             0                             55                            42                            40                            7                             0                             89                            35                            36                            6                             0                             77                            1                             8                             1                             0                             10                            24                            15                            2                             0                             41                            272                           
Warren 300                    849                           8                             5                             3                             1                             17                            19                            8                             7                             2                             36                            9                             6                             6                             2                             23                            3                             1                             1                             0                             5                             11                            4                             4                             0                             19                            100                           
Warren 301                    940                           15                            6                             4                             0                             25                            36                            15                            10                            3                             64                            26                            13                            9                             0                             48                            8                             5                             2                             0                             15                            33                            11                            4                             0                             48                            200                           
Warren 302                    766                           16                            8                             4                             0                             28                            44                            13                            12                            0                             69                            36                            13                            12                            0                             61                            16                            3                             3                             0                             22                            37                            6                             4                             0                             47                            227                           
Warren 303                    707                           27                            17                            4                             0                             48                            56                            18                            5                             2                             81                            54                            17                            6                             2                             79                            11                            11                            1                             2                             25                            36                            11                            3                             0                             50                            283                           
Warren 304                    730                           41                            14                            4                             0                             59                            71                            24                            7                             0                             102                           54                            20                            5                             0                             79                            20                            3                             4                             0                             27                            62                            10                            10                            0                             82                            349                           
Warren 305                    885                           31                            2                             1                             0                             34                            52                            4                             3                             2                             61                            43                            5                             3                             2                             53                            33                            1                             1                             0                             35                            32                            2                             1                             2                             37                            220                           
Warren 306                    975                           16                            2                             5                             0                             23                            41                            5                             3                             0                             49                            31                            3                             5                             0                             39                            25                            0                             1                             0                             26                            37                            6                             3                             0                             46                            183                           
Warren 307                    867                           13                            3                             1                             0                             17                            24                            5                             2                             1                             32                            21                            4                             1                             0                             26                            9                             2                             1                             0                             12                            24                            5                             1                             0                             30                            117                           
